Group;Group Name;Group Weight;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
1;资产清单与分类;1;1.1;所有 ICS 资产（硬件、软件、固件）已建档，并标明负责人和关键性。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
1;资产清单与分类;1;1.2;ICS 网络拓扑与数据流保持最新，并至少每年复审一次。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
1;资产清单与分类;1;1.3;资产清单与配置及补丁管理记录关联。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
2;分区与隔离（IEC 62443）;1;2.1;ICS 的区域与通道已定义，并记录信任边界。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
2;分区与隔离（IEC 62443）;1;2.2;区域间流量仅限于已记录的必要通信。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
2;分区与隔离（IEC 62443）;1;2.3;关键区域在与其他区域断联时仍可安全运行。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
3;ICS DMZ 架构;1;3.1;ICS DMZ 通过防火墙实现，并有严格的规则管理。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
3;ICS DMZ 架构;1;3.2;企业与 ICS 间不直接通信，使用 DMZ 跳板/中间系统。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
3;ICS DMZ 架构;1;3.3;DMZ 服务已加固、监控，且不直接暴露于互联网。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
4;远程访问;1;4.1;ICS 远程访问使用多因素认证，仅限批准用户和时间窗口。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
4;远程访问;1;4.2;远程访问通过受管跳板机并记录会话。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
4;远程访问;1;4.3;紧急远程访问流程可控且有日志记录。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
5;身份与访问管理;1;5.1;ICS 运行与工程使用唯一用户账户。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
5;身份与访问管理;1;5.2;特权访问按角色控制并至少每季度复审。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
5;身份与访问管理;1;5.3;默认/供应商账户已删除或加固并监控。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
6;终端加固;1;6.1;ICS 终端遵循安全基线配置（OS、服务、端口、BIOS/UEFI）。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
6;终端加固;1;6.2;控制器、HMI 和服务器上禁用不必要的服务与端口。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
6;终端加固;1;6.3;在支持的场景使用安全启动和设备控制。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
7;漏洞与补丁管理;1;7.1;在变更批准下进行漏洞扫描或被动监测。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
7;漏洞与补丁管理;1;7.2;补丁按风险实施，例外有记录并有补偿措施。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
7;漏洞与补丁管理;1;7.3;厂商通告在既定 SLA 内跟踪评估。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
8;监测与日志;1;8.1;ICS 网络流量使用适合 OT 的 IDS/监测工具。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
8;监测与日志;1;8.2;ICS/DMZ 安全日志集中存储并按政策保留。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
8;监测与日志;1;8.3;告警与检测规则覆盖常见 ICS 攻击技术。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
9;备份与恢复;1;9.1;定期备份 ICS 配置、逻辑与关键服务器。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
9;备份与恢复;1;9.2;备份离线或存放在分段仓库并受访问控制。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
9;备份与恢复;1;9.3;恢复流程至少每年测试一次。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
10;工程师工作站与工具;1;10.1;工程师工作站专用、已加固，不用于通用上网。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
10;工程师工作站与工具;1;10.2;工程师工作站使用应用白名单。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
10;工程师工作站与工具;1;10.3;可移动介质在 ICS 使用前受控并扫描。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
11;安全系统隔离（SIS/BPCS）;1;11.1;SIS 与 BPCS 分段，通信最小化且受控。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
11;安全系统隔离（SIS/BPCS）;1;11.2;SIS 变更需多人审批并记录。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
11;安全系统隔离（SIS/BPCS）;1;11.3;SIS 工程与操作员站已加固并监控。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
12;物理与环境防护;1;12.1;对 ICS 机柜、网络设备和控制室的物理访问受限并记录。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
12;物理与环境防护;1;12.2;ICS 房间的环境控制（电力、空调、消防）受监测。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
12;物理与环境防护;1;12.3;访客进入 ICS 区域需受控并陪同。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
